Ratio_TA,Ratio_LP,Biomass_TA,Biomass_LP,Gardener
24,12,77,3,3
24,12,111,1.82,4
24,12,110,3.82,5
24,18,81,2.04,1
24,18,82,4.55,2
24,18,91,1.59,3
24,18,75,3.14,4
24,18,94,2.89,5
24,24,48,3.04,1
24,24,44,2.02,2
24,24,85,2.59,3
24,24,53,2.6,4
24,24,77,1.92,5
24,30,69,2.5,1
24,30,82,1.77,2
24,30,45,1.77,3
24,30,79,1.35,4
24,30,33,2.38,5
24,36,66,1.62,1
24,36,63,2.19,2
24,36,66,1.97,3
24,36,93,1.88,4
24,36,82,2.04,5
24,42,66,0.55,1
24,42,35,1.9,2
24,42,83,2.99,3
24,42,70,1.33,4
24,42,70,5.02,5
24,48,83,2.57,1
24,48,91,5.58,2
24,48,57,1.3,3
24,48,82,0.9,4
24,48,49,3.06,5
24,54,45,2.24,1
24,54,44,2.53,2
24,54,67,1.67,3
24,54,93,1.74,4
24,54,52,1,5
24,60,63,3.64,1
24,60,55,1.82,2
24,60,61,1.31,3
24,60,91,3.75,4
24,60,63,3.24,5
30,0,54,NA,1
30,0,63,NA,2
30,0,48,NA,3
30,0,58,NA,4
30,0,77,NA,5
30,1,95,3.09,1
30,1,60,3.56,2
30,1,57,2.02,3
30,1,62,4.22,4
30,1,60,1.48,5
30,6,70,1.59,1
30,6,48,1.19,2
30,6,84,2.32,3
30,6,74,3.92,4
30,6,73,1.58,5
30,12,NA,NA,1
30,12,NA,0.98,2
30,12,NA,2.3,3
30,12,NA,0.74,4
30,12,NA,3.46,5
30,18,55,3.16,1
30,18,62,2.35,2
30,18,47,1.46,3
30,18,48,2.69,4
30,18,65,2.22,5
30,24,59,1.57,1
30,24,47,2.07,2
30,24,47,2.69,3
30,24,56,2.28,4
30,24,81,2.47,5
30,30,48,1.63,1
30,30,43,2.32,2
30,30,50,1.48,3
30,30,45,1.84,4
30,30,40,3.42,5
30,36,96,3.09,1
30,36,84,2.89,2
30,36,71,2.45,3
30,36,70,1.87,4
30,36,65,1.98,5
30,42,41,2.62,1
30,42,47,0.93,2
30,42,NA,1.3,3
30,42,60,1.95,4
30,42,63,2.55,5
30,48,72,2.52,1
30,48,63,1.83,2
30,48,57,3.89,3
30,48,80,1.91,4
30,48,58,2.08,5
30,54,52,1,1
30,54,66,1.76,2
30,54,61,0.54,3
30,54,44,2.09,4
30,54,37,3.37,5
30,60,47,1.75,1
30,60,57,1.81,2
30,60,56,1.62,3
30,60,61,1.89,4
30,60,63,3.12,5
36,0,25,NA,1
36,0,83,NA,2
36,0,50,NA,3
36,0,50,NA,4
36,0,60,NA,5
36,1,62,1.08,1
36,1,88,1.67,2
36,1,34,1.64,3
36,1,42,NA,4
36,1,67,2.35,5
36,6,49,1.58,1
36,6,58,1.53,2
36,6,59,1.36,3
36,6,42,1.73,4
36,6,44,1.54,5
36,12,70,1.48,1
36,12,89,2.15,2
36,12,43,1.42,3
36,12,75,1.03,4
36,12,60,1.92,5
36,18,58,1.39,1
36,18,41,1.29,2
36,18,38,1.27,3
36,18,60,1.05,4
36,18,48,2.6,5
36,24,70,1.74,1
